Aug 28 14:25:52.602 DEBG added or changed, sha1: d49608c2, mtime: 1629355766, fname: 旅行する_b.mp3
Aug 28 14:25:52.606 DEBG added or changed, sha1: 9e9a212e, mtime: 1629355765, fname: 野球_g.mp3
Aug 28 14:25:52.614 DEBG added or changed, sha1: 02123abd, mtime: 1629355773, fname: 背後_g.mp3
Aug 28 14:25:52.623 DEBG added or changed, sha1: da1aabf6, mtime: 1629355784, fname: 殴り込み_g.mp3
Aug 28 14:25:52.634 DEBG added or changed, sha1: 228cc7be, mtime: 1629355783, fname: 矛先_b.mp3
Aug 28 14:25:52.646 DEBG added or changed, sha1: b2ef5b5c, mtime: 1629355782, fname: 嫁_b.mp3
Aug 28 14:25:52.659 DEBG added or changed, sha1: 4c575ff5, mtime: 1629355785, fname: 連鎖_g.mp3
Aug 28 14:25:52.666 DEBG added or changed, sha1: b4f33928, mtime: 1629355763, fname: この辺_b.mp3
Aug 28 14:25:52.679 DEBG added or changed, sha1: b74af913, mtime: 1629355771, fname: 吸収する_b.mp3
Aug 28 14:25:52.695 DEBG added or changed, sha1: bc76857f, mtime: 1629355789, fname: 漸く_g.mp3
Aug 28 14:25:52.702 DEBG added or changed, sha1: ec056fd2, mtime: 1629355779, fname: 製鋼_b.mp3
Aug 28 14:25:52.715 DEBG added or changed, sha1: 9dedd7f2, mtime: 1629355769, fname: 一応_b.mp3
Aug 28 14:25:52.726 DEBG added or changed, sha1: 55d7a6b2, mtime: 1629355786, fname: 叙情_g.mp3
Aug 28 14:25:52.746 DEBG added or changed, sha1: 3cdf4bb9, mtime: 1629355776, fname: 暮らし_b.mp3
Aug 28 14:25:52.752 DEBG added or changed, sha1: 4fddde71, mtime: 1629355763, fname: 海外_g.mp3
Aug 28 14:25:52.759 DEBG added or changed, sha1: 846440c0, mtime: 1629355767, fname: 係わる_g.mp3
Aug 28 14:25:52.761 DEBG added or changed, sha1: c4b22c7c, mtime: 1629355767, fname: 一昨日_g.mp3
Aug 28 14:25:52.770 DEBG added or changed, sha1: 40c04a92, mtime: 1629355780, fname: 原爆_g.mp3
Aug 28 14:25:52.778 DEBG added or changed, sha1: 884e103c, mtime: 1629355784, fname: 覚悟_b.mp3
Aug 28 14:25:52.784 DEBG added or changed, sha1: 72fa87bb, mtime: 1629355787, fname: 宰相_g.mp3
Aug 28 14:25:52.792 DEBG added or changed, sha1: 4eb81769, mtime: 1629355775, fname: 結婚する_b.mp3
Aug 28 14:25:52.795 DEBG added or changed, sha1: cfc598c9, mtime: 1629355765, fname: 返る_g.mp3
Aug 28 14:25:52.801 DEBG added or changed, sha1: 2e751ca8, mtime: 1629355766, fname: 同感_g.mp3
Aug 28 14:25:52.811 DEBG added or changed, sha1: 117857e7, mtime: 1629355778, fname: 描写_b.mp3
Aug 28 14:25:52.823 DEBG added or changed, sha1: fa50aed1, mtime: 1629355764, fname: 記事_b.mp3
Aug 28 14:25:52.831 DEBG added or changed, sha1: 49a1ef99, mtime: 1629355782, fname: 井戸_g.mp3
Aug 28 14:25:52.836 DEBG added or changed, sha1: 69e5d4fb, mtime: 1629355780, fname: 掛軸_g.mp3
Aug 28 14:25:52.847 DEBG added or changed, sha1: 27d225d6, mtime: 1629355779, fname: 免除_b.mp3
Aug 28 14:25:52.852 DEBG added or changed, sha1: 5b114e0e, mtime: 1629355770, fname: 律動_b.mp3
Aug 28 14:25:52.862 DEBG added or changed, sha1: 241060ff, mtime: 1629355776, fname: 福寿_b.mp3
Aug 28 14:25:52.871 DEBG added or changed, sha1: 13203b79, mtime: 1629355775, fname: 志望_b.mp3
Aug 28 14:25:52.882 DEBG added or changed, sha1: 9ce5e20b, mtime: 1629355765, fname: 太陽_g.mp3
Aug 28 14:25:52.889 DEBG added or changed, sha1: aa68b5f1, mtime: 1629355781, fname: 山岳_g.mp3
Aug 28 14:25:52.889 DEBG added or changed, sha1: b5e849b5, mtime: 1629355786, fname: 庶民_b.mp3
Aug 28 14:25:52.900 DEBG added or changed, sha1: c2036145, mtime: 1629355766, fname: 本能_g.mp3
Aug 28 14:25:52.903 DEBG added or changed, sha1: 306b98da, mtime: 1629355769, fname: 立派_b.mp3
Aug 28 14:25:52.906 DEBG added or changed, sha1: b26c7a98, mtime: 1629355764, fname: 言語_g.mp3
Aug 28 14:25:52.921 DEBG added or changed, sha1: 51c6b523, mtime: 1629355786, fname: 報酬_b.mp3
Aug 28 14:25:52.926 DEBG added or changed, sha1: 96bfb926, mtime: 1629355763, fname: 高い_g.mp3
Aug 28 14:25:52.929 DEBG added or changed, sha1: 02aa0280, mtime: 1629355765, fname: 始めに_b.mp3
Aug 28 14:25:52.934 DEBG added or changed, sha1: 9185820b, mtime: 1629355763, fname: 天国_b.mp3
Aug 28 14:25:52.943 DEBG added or changed, sha1: 468b140b, mtime: 1629355767, fname: 広告_g.mp3
Aug 28 14:25:52.951 DEBG added or changed, sha1: ec89b826, mtime: 1629355771, fname: 見渡す_g.mp3
Aug 28 14:25:52.952 DEBG added or changed, sha1: 5a96f531, mtime: 1629355776, fname: 庁舎_b.mp3
Aug 28 14:25:52.966 DEBG added or changed, sha1: 15c73465, mtime: 1629355778, fname: 委託_b.mp3
Aug 28 14:25:52.977 DEBG added or changed, sha1: 36b9f330, mtime: 1629355782, fname: 若い頃_g.mp3
Aug 28 14:25:52.985 DEBG added or changed, sha1: ad38d0a7, mtime: 1629355780, fname: 円弧_g.mp3
Aug 28 14:25:52.988 DEBG added or changed, sha1: ea80f9b8, mtime: 1629355779, fname: 勧告_g.mp3
Aug 28 14:25:53.000 DEBG added or changed, sha1: 1913f8e3, mtime: 1629355768, fname: 最後尾_b.mp3
Aug 28 14:25:53.010 DEBG added or changed, sha1: e7a1e45d, mtime: 1629355776, fname: 爪_g.mp3
Aug 28 14:25:53.022 DEBG added or changed, sha1: 82008cbc, mtime: 1629355782, fname: 癖_g.mp3
Aug 28 14:25:53.027 DEBG added or changed, sha1: f744acb2, mtime: 1629355779, fname: 崩れる_g.mp3
Aug 28 14:25:53.038 DEBG added or changed, sha1: b5653e1b, mtime: 1629355772, fname: 独特_b.mp3
Aug 28 14:25:53.046 DEBG added or changed, sha1: f0692a51, mtime: 1629355766, fname: 周囲_b.mp3
